PMID
25015340
18711012
22573644
16360356
12860911
18997196
27040132
21067804
28231942
3313041
7671361
16310551
20228404
17984166
18757089
25684642
16899775
12201623
29735587
28465286
28768335
23126252
28304224
PMID-IN PROGRESS
28813214
18376000
26039521
27673306
7566020
25282519
26330422
26043746
20435231
21067804
27358432
27050191
27462068
19001495
27417002
28275165
26704379
23846814
27068777
12814710
15325833
15855581
16801565
23186103
18997196
28314800
25285455
28339992
25686167
27436865
28002550
27180122
24682252
28705378
27682885
27859433
26909370
28797402
28531241
28797417
26449135
26172893
26482753
28315622
27693004
n/a
n/a
27040132
9613910
17011942
18997196
15669150
29807048
26047944
20937924
26822776
25798575
28520522
20404379
18997196
27040132
12457784
28892121
19442259
17065671
21815708
28531241
12076239
28385949
23954343
26245770
22607822
28385949
25110220
12473254
12039822
19150015
25841542
22031171
23436914
17698729
23613255
20108073
19922034
20082930
24997634
23817470
28685504
27559556
11158455
7723156
10619534
21994964
25847553
21028969
26181766
26337820
25008950
24707021
24636901
24463933
22819275
22014414
25249405
26086641
25809784
21124323
25515620
26079405
27810053
24682252
27437649
27537560
26791059
26476504
28196265
27445216
27436865
27151343
26633047
23036519
27040132
3313401
20102893
22607822
20102893
22607822
21067804
21683321
8836866
19903920
17635890
19001625
26969416
27820614
26228674
23009781
9613910
11788107
17011942
18172039
18997196
20176986
22300691
23440795
25579834
27039945
27040132
16365194
21068189
27072301
27846641
26705490
28624395
28746709
17917602
28816365
28694789
27561760
26449135
21663949
27477773
22910937
22910936
25833405
21067804
16034009
19332456
19540640
15492322
27444412
17456578
23460074
27040132
23183941
27039291
25499937
24737272
25545331
PMC3774022 
20842109
23352266
20167359
21249663
24247674
24321403
19174696
21490915
22621795
3665928
28000212
19675319
22080794
9230143
25193393
24676715
21647425
24868083
24002278
22080794
28132746
28402085
21462218
24372459
27533159
28829863
27092712
28097904
28832867
28081164
29049467
27533159
27092712
